012 Bar & Grill Restaurant	012 Bar and Grill Restaurant	269253652	51.542752	0.0032106
10:50 From Victoria	10:50 From Victoria	6273308318	51.3969055	0.4951908
1051 GWR	1051 GWR	49771732		
10 Cafe Bar	10 Cafe Bar	5299388638	56.644628	-2.8881563
10 Devonshire Place	10 Devonshire Place	571117359		
12	12	679205540		
12 Degrees	12 Degrees	665434103		
13	13	4347797582	52.0014443	-0.9848897
1314	1314	7142281617	56.091125	-3.9327515
15 Queen Street	15 Queen Street	373494810	51.5222708	-0.7199988
1769 Bar & Restaurant	1769 Bar and Restaurant	289876342	54.4588612	-3.0249694
1852	1852	490291463		
1885 The Pub	1885 the Pub	441083400		
1887 The Brew Room	1887 the Brew Room	582468165	53.8177432	-3.0480707
19th Hole	19th Hole	618698593	53.2641054	-1.8964932
1 Town Hall Square	1 Town Hall Square	5175485250	51.4619813	-3.4474168
20 at the kings	20 at the Kings	2205027358	51.5525154	-1.7758087
21 The High Street	21 the High Street	403138984	53.8833302	-1.2624087
226 Gallowgate	226 Gallowgate	725359463		
26 Hope Street	26 Hope Street	2038184318	55.8595835	-4.2588739
27, The Cricklewood	27, the Cricklewood	834212043		
29 Park Place	29 Park Place	7647806052	51.4858996	-3.176197
2nd West	2nd West	301221736	53.7875172	-1.7896159
301 Miles	301 Miles	5001733217	54.8908589	-2.9329833
32Below	32Below	3015271943	55.94452	-3.1852171
3 Cues	3 Cues	3470525579	52.4722348	-1.8644851
3 Jolly Butchers	3 Jolly Butchers	1152974474	50.826136	-0.14144
4 Aces	4 Aces	262623094	55.8541778	-4.0290587
501 Bar	501 Bar	552935467		
52 Canoes Tiki Den	52 Canoes Tiki Den	483035255	55.9466693	-3.1984915
57 Thomas Street	57 Thomas Street	3260875385	53.4838807	-2.2362441
5b Urban Bar	5b Urban Bar	190355898		
5 Degrees West	5 Degrees West	309216709		
601 Queens Road	601 Queens Road	4117016441	51.4209255	-0.2056591
612 Social Club	612 Social Club	288292972		
6 Acres	6 Acres	300010618	53.7610678	-1.6787208
6 Barrels	6 Barrels	8757493149	55.011356	-1.4363716
85 High Street	85 High Street	2657366290	56.2031897	-3.2068932
9 Gallon	9 Gallon	9001996218	53.3888575	-2.5973769
A1 Allerdene Social Club	A1 Allerdene Social Club	439022721		
Aardvark	Aardvark	161441499		
Abacus	Abacus	419728738	52.399312	-0.7261248
Abadam Arms	Abadam Arms	384796478	51.8222811	-4.1495906
Abbey	Abbey	304574297		
Abbey Hotel	Abbey Hotel	138912572		
Abbey Inn	Abbey Inn	370410527		
Abbey Inn	Abbey Inn	392702023	55.083739	-3.622939
Abbey Inn	Abbey Inn	490261310		
Abbey Inn	Abbey Inn	688065927	54.5386552	-1.0505267
Abbey Inn On The River	Abbey Inn on the River	298848771	50.487656	-3.7733003
Abbey Lodge	Abbey Lodge	108328851		
Abbey's Bar	Abbey's Bar	3223967987	54.6899894	-1.1984413
Abbey Vaults	Abbey Vaults	300442575		
Abbotinch Bar	Abbotinch Bar	42615295		
Abbots Arms	Abbots Arms	2976469361	53.2755232	-3.209938
Abbotsford	Abbotsford	1367337816	55.9532705	-3.1946516
Abbots Mitre	Abbots Mitre	442111166	51.1577624	-1.4395959
Abbotswood Inn	Abbotswood Inn	103698626		
Aberavon Liberal Club	Aberavon Liberal Club	406071895	51.5943521	-3.7961093
Abercorn Arms	Abercorn Arms	219429713		
Abercorn Arms	Abercorn Arms	672510074	51.6210616	-0.3159056
Abercrave Inn	Abercrave Inn	1700217079	51.8020742	-3.7057713
Aberdulais Royal British Legion	Aberdulais Royal British Legion	97099857		
Aber Vaults	Aber Vaults	316900930	52.416032	-4.0799832
Abingdon Arms	Abingdon Arms	114520514		
abode	Abode	588498430	55.9665025	-3.1749285
Absolut	Absolut	592060417	54.5779734	-1.2340976
Academical Vaults	Academical Vaults	3034716532	55.778357	-4.0553671
Accidental Brewery	Accidental Brewery	6340018290	54.0475638	-2.7961987
Ace of Diamonds	Ace of Diamonds	303811092	53.4917937	-2.2198377
Ace of Spades	Ace of Spades	285895873		
Aces and Eights	Aces and Eights	25744507	51.5566572	-0.138419
Achness Hotel / Pub	Achness Hotel / Pub	4975443421	57.9851339	-4.5837449
Ackroyd Street Working Men's Club	Ackroyd Street Working Men's Club	384962210	53.7451187	-1.5954259
Ackworth Village Social Club	Ackworth Village Social Club	5514633519	53.6411731	-1.3475686
Acle Bridge Inn	Acle Bridge Inn	177802857		
Acorn 30	Acorn 30	255135771	51.3320433	-0.2710528
Acorn	Acorn	617653019		
Acorn Inn	Acorn Inn	266229192	52.8125069	-1.6975954
Acorn Inn	Acorn Inn	372326010		
Acregate Hotel	Acregate Hotel	644421598		
Acton Park	Acton Park	361156370	53.0607619	-2.990013
Actress & Bishop	Actress and Bishop	97694604		
Adam and Eve	Adam and Eve	194846031		
Adam & Eve	Adam and Eve	173925486		
Adam & Eve	Adam and Eve	279440467		
Adam & Eve	Adam and Eve	442409161		
Adam & Eve	Adam and Eve	543924851		
Adam & Eve	Adam and Eve	603491262		
Adam & Eve Hotel	Adam and Eve Hotel	4340875267	54.9894819	-1.4375001
Adamson Hotel	Adamson Hotel	2272011545	56.0636581	-3.4954158
Adderley Park Inn	Adderley Park Inn	83076941		
Addison Arms	Addison Arms	971082470	52.4589863	-0.3011837
Additions	Additions	504738354	53.9269748	-3.010126
Adelphi	Adelphi	81405705		
Adelphi Vaults	Adelphi Vaults	1098069017	53.4121908	-4.334611
Adelphi Vaults	Adelphi Vaults	1933998476	53.3887355	-2.5883853
Adel War Memorial Association	Adel War Memorial Association	6058165830	53.8558917	-1.587275
Admiral Benbow	Admiral Benbow	2394860363	53.222763	0.3393992
Admiral Benbow	Admiral Benbow	2422209497	50.117075	-5.5343453
Admiral Benbow	Admiral Benbow	318587475		
Admiral Cunningham	Admiral Cunningham	493417702	51.4209096	-0.7638958
Admiral Duncan	Admiral Duncan	157779526		
Admiral Duncan	Admiral Duncan	468459213		
Admiral Hardy	Admiral Hardy	2245586668	50.6081802	-2.4747994
Admiral Hawke	Admiral Hawke	187239378		
Admiral Hawke	Admiral Hawke	369704961		
Admiral Hornblower	Admiral Hornblower	101810849		
Admiral Lord Rodney	Admiral Lord Rodney	1708219839	53.8531024	-2.1691329
Admiral MacBride	Admiral MacBride	2601381830	50.3661146	-4.1342637
Admiral Nelson	Admiral Nelson	3499300168	52.9989099	0.080408
Admiral Nelson	Admiral Nelson	39603640		
Admiral Owen	Admiral Owen	980880667	51.2755183	1.3416066
Admiral Public House	Admiral Public House	108317019		
Admiral Rodney	Admiral Rodney	1423461284	52.2228126	-2.3703818
Admiral Rodney	Admiral Rodney	248917942	53.2906156	-2.1491954
Admiral Rodney 	Admiral Rodney	3600128163	52.7290529	-3.0219298
Admiral Rodney	Admiral Rodney	362049850		
Admiral Rodney	Admiral Rodney	711006558	53.0371975	-1.0868487
Admiral Rodney	Admiral Rodney	739069986	52.3029077	-1.0760996
Admiral Rodney	Admiral Rodney	95426405		
Admiral Rodney Hotel	Admiral Rodney Hotel	8978201466	53.2095956	-0.1142353
Admiral Sir John Borlase Warren	Admiral Sir John Borlase Warren	149487940		
Admirals Landing	Admirals Landing	153711361		
Admiral Wells	Admiral Wells	374844489		
Adrian Club and Institute	Adrian Club and Institute	5499252152	53.8245062	-1.4883511
Advocate Arms	Advocate Arms	2211238778	53.3874444	-0.3373466
Aeglesburgh @ the Watermead Inn	Aeglesburgh @ the Watermead Inn	5165860638	51.8323138	-0.8062217
Aether	Aether	4501133133	53.4038511	-2.9884928
Afan Lodge	Afan Lodge	293243972		
Affcot Lodge	Affcot Lodge	892596571		
Affleck Arms	Affleck Arms	268812044	52.2266036	0.5203619
Afon Gwy	Afon Gwy	1376539498	51.6453593	-2.6721836
Afon Gwy	Afon Gwy	1376539498	51.6453593	-2.6721836
After Dark	After Dark	26280656	53.681996	-1.5015587
Agenda	Agenda	259248888	51.5108908	-0.0811851
Aigburth Cricket and Bowling Club	Aigburth Cricket and Bowling Club	252502462	53.3752981	-2.9541082
Aigburth Peoples Hall Social Club	Aigburth Peoples Hall Social Club	247386387	53.3765535	-2.9324999
Aikmans	Aikmans	2409242354	56.3392796	-2.7986188
Aikton Arms	Aikton Arms	1290759415	54.8751856	-3.1317258
Ailsa Tavern	Ailsa Tavern	250747007	51.4605376	-0.322783
Ainsworth Arms	Ainsworth Arms	564100650		
Air	Air	690524351	50.3751401	-4.136835
Aire Bar	Aire Bar	319130545	53.7948578	-1.5390881
Airfield Tavern	Airfield Tavern	1589002079	50.9418707	-2.6708713
Air Hostess	Air Hostess	361337827		
Airlie Arms	Airlie Arms	293879947	56.472137	-2.9649437
Airport Tavern	Airport Tavern	534609691		
Aitchie's Ale House	Aitchie's Ale House	2540149917	57.1451544	-2.0981198
Akenside Traders	Akenside Traders	296601534		
Alans Hill Croft Inn	Alans Hill Croft Inn	761104221		
Albans Well	Albans Well	8731146240	51.7537109	-0.3375354
Albany Social Club	Albany Social Club	106670361		
Albatros	Albatros	1786762185	52.9575246	0.8516431
Albatross	Albatross	7106596553	53.8703002	-3.0021684
Albero Lounge	Albero Lounge	692743885		
Alberrys	Alberrys	391923129		
Albert Arms	Albert Arms	89833553		
Alberta social Club	Alberta Social Club	437318677		
Albert Hotel	Albert Hotel	315637611	53.3600109	-2.0332864
Albert Hotel	Albert Hotel	415511088	53.8653077	-1.9105855
Albertos	Albertos	39544273		
Albert's Corner	Albert's Corner	618097114		
Albert's Schloss Cook Haus & Bier Palace	Albert's Schloss Cook Haus and Bier Palace	5502942029	53.4781801	-2.2478236
Albert Tavern	Albert Tavern	60634466		
Albert Vaults	Albert Vaults	1578450537	53.3124163	-4.6328723
Albion	Albion	1024935840		
Albion	Albion	600387163	52.5738302	1.7255773
Albion Inn	Albion Inn	176677497		
Albion Inn	Albion Inn	299481402		
Albion Inn	Albion Inn	344428596	53.1881887	-2.8881032
Albion Inn	Albion Inn	380818590		
Albion Inn	Albion Inn	495644915	55.7596827	-1.9969872
Albion Inn	Albion Inn	695864441	51.1314756	-2.825387
Albion Inn	Albion Inn	7982346910	50.83185	-0.221886
Albion Social Club	Albion Social Club	1328306836	55.8924471	-4.3749286
Albion Street Working Mens Club	Albion Street Working Mens Club	643201476		
Albion Taverna	Albion Taverna	52788412	51.3192889	0.8917443
Albion Tavern	Albion Tavern	296590971	51.2190586	-0.7884092
Albion Vaults	Albion Vaults	188223908		
Albion Vaults	Albion Vaults	559993019	52.7121406	-2.7504209
Albion Vaults	Albion Vaults	907936737	53.0432256	-2.9957025
Alby Horseshoes Inn	Alby Horseshoes Inn	354373029		
Aldersgate Welcome Inn	Aldersgate Welcome Inn	85641594		
Aldwark Arms	Aldwark Arms	360960696		
Ale House	Ale House	466671096		
Ale House	Ale House	7079449830	50.7006156	-1.2939824
Ale Rooms	Ale Rooms	276139153		
Ales of the Unexpected	Ales of the Unexpected	886597236		
Ale Wagon	Ale Wagon	26942170	52.6341872	-1.1287943
Alexander Bain	Alexander Bain	506488460		
Alexander Pope Hotel	Alexander Pope Hotel	766037869		
Alexander's The Pub	Alexander's the Pub	257228751		
Alexandra Arms	Alexandra Arms	364108782		
Alexandra Inn	Alexandra Inn	6875202720	50.1129125	-5.5413714
Alexandra Tavern	Alexandra Tavern	135775323		
Alfie's	Alfie's	310741308		
Alfie's Bar	Alfie's Bar	6013805632	51.8764082	-0.4206884
Alfred	Alfred	250875354		
Alfred Arms	Alfred Arms	28220814	51.1374195	0.8821495
Alfred Arms	Alfred Arms	722426719		
Alhambra Bar	Alhambra Bar	588498429	55.9666806	-3.1748044
Alhampton Inn	Alhampton Inn	111388161		
Alice House	Alice House	630503145	51.550909	-0.19161
Alison Arms	Alison Arms	663648849	53.6122034	-2.673922
