Adelphi	|Adelphi|	352652461	53.7627268	-2.7064154
Adelphi Vaults	|Adelphi Vaults|	1098069017	53.412218	-4.3347022
Adelphi Vaults	|Adelphi Vaults|	1933998476	53.3887355	-2.5883853
Admiral	|Admiral|	573253906	52.0363351	-0.3039854
Admiral Bembow (Top House)	|Admiral Bembow (Top House)|	1687114506	52.793194	-2.8997889
Admiral Benbow	|Admiral Benbow|	2422209497	50.117075	-5.5343453
Admiral Benbow	|Admiral Benbow|	257764512	52.707	-2.7557
Admiral Cunningham	|Admiral Cunningham|	493417702	51.4209096	-0.7638958
Admiral Cunningham	|Admiral Cunningham|	550174300	50.8449285	-1.2022834
Admiral Duncan	|Admiral Duncan|	157779526		
Admiral Gordon	|Admiral Gordon|	311379445	51.2680337	0.4998283
Admiral Hardy	|Admiral Hardy|	2245586668	50.6081802	-2.4747994
Admiral Hawke	|Admiral Hawke|	187239378		
Admiral Holland	|Admiral Holland|	602362569	52.0622874	-1.3531131
Admiral Hornblower	|Admiral Hornblower|	101810849		
Admiral J McHardy	|Admiral J McHardy|	281935520		
Admiral Kepple	|Admiral Kepple|	247931880	51.217209	1.38219
Admiral Lord Nelson	|Admiral Lord Nelson|	1716233823	53.8366622	-2.2148282
Admiral Lord Rodney	|Admiral Lord Rodney|	1708219839	53.8531024	-2.1691329
Admiral MacBride	|Admiral MacBride|	2601381830	50.3661121	-4.1341149
Admiral Nelson	|Admiral Nelson|	2129294851	52.2885373	-1.1967512
Admiral Nelson	|Admiral Nelson|	39603640		
Admiral Owen	|Admiral Owen|	980880667	51.2753396	1.3414966
Admiral Public House	|Admiral|Public House	108317019		
Admiral Rodney	|Admiral Rodney|	1423461284	52.2228126	-2.3703818
Admiral Rodney	|Admiral Rodney|	248917942	53.2905839	-2.1498065
Admiral Rodney	|Admiral Rodney|	473183664	53.0787419	-0.9547104
Admiral Rodney	|Admiral Rodney|	711006558	53.0372954	-1.0869546
Admiral Rodney	|Admiral Rodney|	720823522	52.6750718	-2.1735435
Admiral Rodney	|Admiral Rodney|	739069986	52.3029077	-1.0760996
Admiral Rodney	|Admiral Rodney|	95426405		
Admiral Rodney Hotel	|Admiral Rodney|Hotel	1487054187	53.2094014	-0.1142533
Admiral Sir John Borlase Warren	|Admiral Sir John Borlase Warren|	149487940		
